dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
24/10/2022,24,10,2022,6907,122,France,FR,FRA,67320216,Europe
23/10/2022,23,10,2022,31470,17,France,FR,FRA,67320216,Europe
22/10/2022,22,10,2022,43746,33,France,FR,FRA,67320216,Europe
21/10/2022,21,10,2022,49087,81,France,FR,FRA,67320216,Europe
20/10/2022,20,10,2022,56793,69,France,FR,FRA,67320216,Europe
19/10/2022,19,10,2022,63031,106,France,FR,FRA,67320216,Europe
18/10/2022,18,10,2022,87666,101,France,FR,FRA,67320216,Europe
17/10/2022,17,10,2022,9421,112,France,FR,FRA,67320216,Europe
16/10/2022,16,10,2022,41973,17,France,FR,FRA,67320216,Europe
15/10/2022,15,10,2022,55394,35,France,FR,FRA,67320216,Europe
14/10/2022,14,10,2022,58695,79,France,FR,FRA,67320216,Europe
13/10/2022,13,10,2022,64218,62,France,FR,FRA,67320216,Europe
12/10/2022,12,10,2022,67948,55,France,FR,FRA,67320216,Europe
11/10/2022,11,10,2022,94753,85,France,FR,FRA,67320216,Europe
10/10/2022,10,10,2022,9373,79,France,FR,FRA,67320216,Europe
09/10/2022,9,10,2022,42626,8,France,FR,FRA,67320216,Europe
08/10/2022,8,10,2022,57270,26,France,FR,FRA,67320216,Europe
07/10/2022,7,10,2022,61121,53,France,FR,FRA,67320216,Europe
06/10/2022,6,10,2022,65537,50,France,FR,FRA,67320216,Europe
05/10/2022,5,10,2022,66564,47,France,FR,FRA,67320216,Europe
04/10/2022,4,10,2022,89185,74,France,FR,FRA,67320216,Europe
03/10/2022,3,10,2022,8690,62,France,FR,FRA,67320216,Europe
02/10/2022,2,10,2022,37453,7,France,FR,FRA,67320216,Europe
01/10/2022,1,10,2022,46596,17,France,FR,FRA,67320216,Europe
30/09/2022,30,9,2022,48261,34,France,FR,FRA,67320216,Europe
29/09/2022,29,9,2022,51366,33,France,FR,FRA,67320216,Europe
28/09/2022,28,9,2022,53410,45,France,FR,FRA,67320216,Europe
27/09/2022,27,9,2022,73639,40,France,FR,FRA,67320216,Europe
26/09/2022,26,9,2022,7489,51,France,FR,FRA,67320216,Europe
25/09/2022,25,9,2022,31365,8,France,FR,FRA,67320216,Europe
24/09/2022,24,9,2022,38024,14,France,FR,FRA,67320216,Europe
23/09/2022,23,9,2022,37524,33,France,FR,FRA,67320216,Europe
22/09/2022,22,9,2022,38464,30,France,FR,FRA,67320216,Europe
21/09/2022,21,9,2022,38250,33,France,FR,FRA,67320216,Europe
20/09/2022,20,9,2022,51816,48,France,FR,FRA,67320216,Europe
19/09/2022,19,9,2022,5219,58,France,FR,FRA,67320216,Europe
18/09/2022,18,9,2022,23137,2,France,FR,FRA,67320216,Europe
